Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5416.600098,5437.200195,5400.00,5411.00,000,5411.00
2014-12-30,5473.799805,5486.700195,5416.200195,5416.600098,000,5416.600098
2014-12-29,5394.50,5479.899902,5394.50,5473.799805,000,5473.799805
2014-12-24,5380.899902,5398.200195,5366.50,5394.50,000,5394.50
2014-12-23,5442.00,5442.00,5380.899902,5380.899902,000,5380.899902
2014-12-22,5338.600098,5442.00,5338.600098,5442.00,000,5442.00
2014-12-19,5210.799805,5343.100098,5210.799805,5338.600098,000,5338.600098
2014-12-18,5210.799805,5210.799805,5210.799805,5210.799805,000,5210.799805
2014-12-17,5152.299805,5191.299805,5150.200195,5161.899902,603274700,5161.899902
2014-12-16,5186.100098,5186.100098,5142.799805,5152.299805,617065900,5152.299805
2014-12-15,5186.100098,5186.100098,5186.100098,5186.100098,000,5186.100098
2014-12-12,5231.00,5241.50,5204.00,5219.600098,641041100,5219.600098
2014-12-11,5259.00,5259.00,5188.00,5231.00,736331100,5231.00
2014-12-10,5282.700195,5288.399902,5222.399902,5259.00,000,5259.00
2014-12-09,5282.700195,5282.700195,5282.700195,5282.700195,000,5282.700195
2014-12-08,5372.700195,5372.700195,5333.899902,5338.600098,58080600,5338.600098
2014-12-05,5368.799805,5389.399902,5308.200195,5335.299805,639346700,5335.299805
2014-12-04,5321.799805,5373.50,5321.799805,5368.799805,631944200,5368.799805
2014-12-03,5321.799805,5321.799805,5321.799805,5321.799805,000,5321.799805
2014-12-02,5207.700195,5284.899902,5207.700195,5281.299805,724275400,5281.299805
2014-12-01,5313.00,5317.399902,5207.700195,5207.700195,694460000,5207.700195
2014-11-28,5400.899902,5400.899902,5313.00,5313.00,660919200,5313.00
2014-11-27,5391.100098,5391.100098,5328.00,5332.399902,000,5332.399902
2014-11-26,5334.799805,5396.200195,5334.799805,5396.200195,537504600,5396.200195
2014-11-25,5361.799805,5361.799805,5296.799805,5334.799805,883546700,5334.799805
2014-11-24,5304.299805,5378.00,5304.299805,5361.799805,501493500,5361.799805
2014-11-21,5316.200195,5327.200195,5292.899902,5304.299805,569498700,5304.299805
2014-11-20,5368.799805,5368.799805,5315.799805,5316.200195,632223200,5316.200195
2014-11-19,5399.700195,5399.700195,5366.799805,5368.799805,566452100,5368.799805
2014-11-18,5412.50,5431.50,5388.200195,5399.700195,470010700,5399.700195
2014-11-17,5454.299805,5460.299805,5406.200195,5412.50,471435800,5412.50
2014-11-14,5442.700195,5457.399902,5419.299805,5454.299805,447174700,5454.299805
2014-11-13,5463.100098,5470.600098,5433.600098,5442.700195,554020700,5442.700195
2014-11-12,5517.100098,5517.100098,5459.50,5463.100098,563221800,5463.100098
2014-11-11,5524.00,5533.799805,5508.399902,5517.100098,612622700,5517.100098
2014-11-10,5549.100098,5550.299805,5501.399902,5524.00,583270400,5524.00
2014-11-07,5506.100098,5549.100098,5500.299805,5549.100098,729595000,5549.100098
2014-11-06,5517.899902,5547.50,5493.00,5506.100098,610609500,5506.100098
2014-11-05,5519.899902,5519.899902,5481.00,5517.899902,577623800,5517.899902
2014-11-04,5506.899902,5530.899902,5503.799805,5519.899902,445344300,5519.899902
2014-11-03,5526.600098,5535.700195,5499.100098,5506.899902,514872500,5506.899902
2014-10-31,5476.200195,5526.600098,5476.200195,5526.600098,726033900,5526.600098
2014-10-30,5447.600098,5476.899902,5447.600098,5476.200195,658927600,5476.200195
2014-10-29,5452.600098,5481.600098,5441.299805,5447.700195,688817500,5447.700195
2014-10-28,5459.00,5459.00,5433.100098,5452.600098,609644400,5452.600098
2014-10-27,5412.200195,5462.299805,5412.200195,5459.00,566298000,5459.00
2014-10-24,5383.100098,5425.700195,5383.100098,5412.200195,600455400,5412.200195
2014-10-23,5385.899902,5389.200195,5364.50,5383.100098,593525900,5383.100098
2014-10-22,5325.00,5388.00,5325.00,5385.899902,575533300,5385.899902
2014-10-21,5319.399902,5344.50,5312.100098,5325.00,745617900,5325.00
2014-10-20,5271.700195,5342.00,5271.700195,5319.399902,462719200,5319.399902
2014-10-17,5254.899902,5308.50,5254.899902,5271.700195,736385900,5271.700195
2014-10-16,5245.600098,5258.600098,5162.399902,5254.899902,835001500,5254.899902
2014-10-15,5207.399902,5252.799805,5206.100098,5245.600098,649120000,5245.600098
2014-10-14,5155.50,5217.700195,5130.700195,5207.399902,817870000,5207.399902
2014-10-13,5188.299805,5188.299805,5122.00,5155.50,638876300,5155.50
2014-10-10,5295.700195,5295.700195,5187.600098,5188.299805,710522700,5188.299805
2014-10-09,5241.299805,5324.600098,5241.299805,5296.700195,626015400,5296.700195
2014-10-08,5284.200195,5284.200195,5209.700195,5241.299805,528201500,5241.299805
2014-10-07,5292.899902,5319.600098,5208.299805,5284.200195,678518900,5284.200195
2014-10-06,5318.200195,5320.899902,5277.899902,5292.899902,327021400,5292.899902
2014-10-03,5297.700195,5318.600098,5281.200195,5318.200195,488425500,5318.200195
2014-10-02,5334.100098,5334.100098,5283.00,5297.700195,541554500,5297.700195
2014-10-01,5292.799805,5337.200195,5244.00,5334.100098,606397100,5334.100098
2014-09-30,5264.200195,5292.799805,5253.100098,5292.799805,647245100,5292.799805
2014-09-29,5313.399902,5313.399902,5259.899902,5264.200195,545039800,5264.200195
2014-09-26,5382.200195,5382.200195,5309.799805,5313.399902,624443300,5313.399902
2014-09-25,5375.799805,5412.899902,5373.299805,5382.200195,535408100,5382.200195
2014-09-24,5415.700195,5415.700195,5356.899902,5375.799805,571805300,5375.799805
2014-09-23,5363.00,5423.200195,5338.00,5415.700195,629951400,5415.700195
2014-09-22,5433.200195,5434.00,5351.100098,5363.00,628233500,5363.00
2014-09-19,5415.799805,5443.200195,5415.50,5433.100098,974436600,5433.100098
2014-09-18,5407.299805,5431.700195,5373.399902,5415.799805,830242100,5415.799805
2014-09-17,5445.399902,5462.100098,5400.200195,5407.299805,705714300,5407.299805
2014-09-16,5468.200195,5484.50,5440.50,5445.399902,627043900,5445.399902
2014-09-15,5531.100098,5531.100098,5473.50,5473.50,596340100,5473.50
2014-09-12,5546.100098,5548.700195,5509.799805,5531.100098,544595600,5531.100098
2014-09-11,5574.299805,5597.399902,5543.50,5546.100098,540835100,5546.100098
2014-09-10,5607.899902,5607.899902,5557.399902,5574.299805,561743200,5574.299805
2014-09-09,5577.00,5607.899902,5575.200195,5607.899902,489494600,5607.899902
2014-09-08,5598.700195,5601.899902,5569.00,5577.00,409453600,5577.00
2014-09-05,5631.299805,5631.299805,5592.899902,5598.700195,486214600,5598.700195
2014-09-04,5656.100098,5657.50,5618.799805,5631.299805,513661200,5631.299805
2014-09-03,5658.50,5672.700195,5643.600098,5656.100098,606648700,5656.100098
2014-09-02,5629.799805,5658.50,5617.899902,5658.50,491520600,5658.50
2014-09-01,5625.899902,5654.00,5625.899902,5629.799805,459817200,5629.799805
2014-08-29,5624.399902,5630.600098,5614.299805,5625.899902,886315300,5625.899902
2014-08-28,5651.200195,5651.299805,5619.899902,5624.399902,871790500,5624.399902
2014-08-27,5637.700195,5652.299805,5637.50,5651.200195,666083100,5651.200195
2014-08-26,5634.899902,5646.600098,5625.899902,5637.600098,622225300,5637.600098
2014-08-25,5645.600098,5650.200195,5625.00,5634.899902,534549000,5634.899902
2014-08-22,5638.899902,5662.700195,5638.899902,5645.600098,569739100,5645.600098
2014-08-21,5634.600098,5679.50,5634.600098,5638.899902,761011000,5638.899902
2014-08-20,5623.799805,5639.399902,5604.200195,5634.600098,602845400,5634.600098
2014-08-19,5587.100098,5626.600098,5582.50,5623.799805,652271400,5623.799805
2014-08-18,5566.50,5587.100098,5566.50,5587.100098,404133400,5587.100098
2014-08-15,5548.50,5578.50,5545.00,5566.50,489602300,5566.50
2014-08-14,5514.700195,5558.399902,5514.700195,5548.50,659992600,5548.50
2014-08-13,5530.299805,5530.299805,5503.299805,5514.700195,527649700,5514.700195
2014-08-12,5457.00,5533.600098,5457.00,5530.299805,557253900,5530.299805
2014-08-11,5435.299805,5475.899902,5435.299805,5457.00,435696100,5457.00
2014-08-08,5509.00,5509.00,5425.200195,5435.299805,690349600,5435.299805
2014-08-07,5512.00,5522.00,5490.100098,5509.00,628013900,5509.00
2014-08-06,5518.700195,5518.700195,5495.100098,5512.00,527827800,5512.00
2014-08-05,5540.899902,5548.700195,5509.899902,5518.600098,545347700,5518.600098
2014-08-04,5556.399902,5556.399902,5524.600098,5540.899902,362979700,5540.899902
2014-08-01,5632.899902,5632.899902,5544.00,5556.399902,630726500,5556.399902
2014-07-31,5622.899902,5644.200195,5618.00,5632.899902,567312600,5632.899902
2014-07-30,5588.399902,5631.100098,5588.399902,5622.899902,571085800,5622.899902
2014-07-29,5577.399902,5594.200195,5565.600098,5588.399902,489979800,5588.399902
2014-07-28,5583.50,5587.50,5558.899902,5577.399902,477877000,5577.399902
2014-07-25,5587.799805,5588.700195,5568.600098,5583.50,573630000,5583.50
2014-07-24,5576.700195,5592.899902,5572.700195,5587.799805,550313700,5587.799805
2014-07-23,5543.299805,5598.200195,5543.299805,5576.700195,572997500,5576.700195
2014-07-22,5539.899902,5545.50,5530.399902,5543.299805,505887400,5543.299805
2014-07-21,5531.700195,5552.899902,5530.100098,5539.899902,425987000,5539.899902
2014-07-18,5522.399902,5531.700195,5484.100098,5531.700195,561305200,5531.700195
2014-07-17,5518.899902,5561.100098,5518.899902,5522.399902,671124300,5522.399902
2014-07-16,5511.299805,5527.299805,5499.700195,5518.899902,520190800,5518.899902
2014-07-15,5511.399902,5536.200195,5493.899902,5511.299805,492944500,5511.299805
2014-07-14,5486.799805,5518.600098,5486.799805,5511.399902,416035600,5511.399902
2014-07-11,5464.399902,5503.100098,5441.700195,5486.799805,492376400,5486.799805
2014-07-10,5452.50,5468.600098,5448.50,5464.399902,495169600,5464.399902
2014-07-09,5510.899902,5510.899902,5439.50,5452.50,513123900,5452.50
2014-07-08,5518.899902,5520.00,5500.899902,5510.899902,495336900,5510.899902
2014-07-07,5525.00,5535.899902,5514.200195,5518.899902,405926900,5518.899902
2014-07-04,5491.200195,5531.700195,5491.200195,5525.00,501965200,5525.00
2014-07-03,5457.100098,5499.799805,5457.100098,5491.200195,575606900,5491.200195
2014-07-02,5375.899902,5455.399902,5375.899902,5455.399902,593547400,5455.399902
2014-07-01,5395.700195,5414.899902,5370.899902,5375.899902,621650800,5375.899902
2014-06-30,5444.799805,5445.899902,5395.700195,5395.700195,539195000,5395.700195
2014-06-27,5464.299805,5480.100098,5440.700195,5445.100098,767866900,5445.100098
2014-06-26,5402.00,5464.299805,5402.00,5464.299805,597157500,5464.299805
2014-06-25,5432.799805,5432.799805,5378.799805,5402.00,648643100,5402.00
2014-06-24,5453.299805,5454.600098,5425.00,5432.799805,569792300,5432.799805
2014-06-23,5419.50,5468.50,5419.50,5453.299805,565090900,5453.299805
2014-06-20,5468.200195,5468.200195,5418.00,5419.50,897196400,5419.50
2014-06-19,5382.700195,5468.200195,5382.700195,5468.200195,884747700,5468.200195
2014-06-18,5400.700195,5404.799805,5382.700195,5382.700195,662896300,5382.700195
2014-06-17,5412.299805,5417.00,5389.00,5400.700195,601521100,5400.700195
2014-06-16,5405.100098,5412.299805,5380.299805,5412.299805,596455100,5412.299805
2014-06-13,5428.799805,5428.799805,5373.600098,5405.100098,686155800,5405.100098
2014-06-12,5454.00,5454.00,5423.00,5428.799805,535681400,5428.799805
2014-06-11,5469.700195,5469.700195,5444.799805,5454.00,496644400,5454.00
2014-06-10,5464.00,5496.299805,5463.200195,5469.700195,476969000,5469.700195
2014-06-06,5436.899902,5472.799805,5436.899902,5464.00,538557500,5464.00
2014-06-05,5444.799805,5455.299805,5416.799805,5436.899902,583526000,5436.899902
2014-06-04,5479.700195,5483.200195,5442.299805,5444.799805,553509500,5444.799805
2014-06-03,5518.50,5526.00,5478.50,5479.700195,670402100,5479.700195
2014-06-02,5484.100098,5522.600098,5482.00,5518.50,553317500,5518.50
2014-05-30,5519.50,5525.100098,5492.50,5492.50,1072302700,5492.50
2014-05-29,5527.200195,5528.50,5503.600098,5519.50,445007400,5519.50
2014-05-28,5511.700195,5541.700195,5511.700195,5527.200195,523145200,5527.200195
2014-05-27,5512.799805,5529.50,5506.700195,5511.700195,466450000,5511.700195
2014-05-26,5492.799805,5512.899902,5492.799805,5512.799805,437616700,5512.799805
2014-05-23,5479.899902,5507.399902,5479.899902,5492.799805,586860000,5492.799805
2014-05-22,5424.600098,5491.00,5424.600098,5479.899902,610922300,5479.899902
2014-05-21,5420.399902,5424.600098,5372.100098,5424.600098,644271400,5424.600098
2014-05-20,5409.00,5433.399902,5384.399902,5420.399902,552053800,5420.399902
2014-05-19,5479.00,5479.00,5409.00,5409.00,646248200,5409.00
2014-05-16,5509.700195,5509.700195,5471.399902,5479.00,532092800,5479.00
2014-05-15,5497.00,5510.799805,5471.50,5510.799805,591494900,5510.799805
